,tweet_id,airline_sentiment,airline_sentiment_confidence,negativereason,negativereason_confidence,airline,airline_sentiment_gold,name,negativereason_gold,retweet_count,text,tweet_coord,tweet_created,tweet_location,user_timezone,sentence_bow,sentence_bow_lem,sentence_dl
3,570301031407624196,negative,1.0,Bad Flight,0.7033,Virgin America,,jnardino,,0,"@VirginAmerica it's really aggressive to blast obnoxious ""entertainment"" in your guests' faces &amp; they have little recourse",,2015-02-24 11:15:36 -0800,,Pacific Time (US & Canada),virginamerica really aggressive blast obnoxious entertainment guests faces amp little recourse,virginamerica really aggressive blast obnoxious entertainment guest face amp little recourse,virginamerica it 's really aggressive to blast obnoxious `` entertainment '' in your guests ' faces & amp ; they have little recourse
4,570300817074462722,negative,1.0,Can't Tell,1.0,Virgin America,,jnardino,,0,@VirginAmerica and it's a really big bad thing about it,,2015-02-24 11:14:45 -0800,,Pacific Time (US & Canada),virginamerica really big bad thing,virginamerica really big bad thing,virginamerica and it 's a really big bad thing about it
5,570300767074181121,negative,1.0,Can't Tell,0.6842,Virgin America,,jnardino,,0,"@VirginAmerica seriously would pay $30 a flight for seats that didn't have this playing.
it's really the only bad thing about flying VA",,2015-02-24 11:14:33 -0800,,Pacific Time (US & Canada),virginamerica seriously would pay flight seats n't playing really bad thing flying,virginamerica seriously would pay flight seat n't playing really bad thing flying,virginamerica seriously would pay $ 30 a flight for seats that did n't have this playing . it 's really the only bad thing about flying va
17,570276917301137409,negative,1.0,Bad Flight,1.0,Virgin America,,heatherovieda,,0,@VirginAmerica  I flew from NYC to SFO last week and couldn't fully sit in my seat due to two large gentleman on either side of me. HELP!,,2015-02-24 09:39:46 -0800,this place called NYC,Eastern Time (US & Canada),virginamerica flew nyc sfo last week could n't fully sit seat due two large gentleman either side help,virginamerica flew nyc sfo last week could n't fully sit seat due two large gentleman either side help,virginamerica i flew from nyc to sfo last week and could n't fully sit in my seat due to two large gentleman on either side of me . help !
24,570256553502068736,negative,1.0,Customer Service Issue,0.3557,Virgin America,,ayeevickiee,,0,@VirginAmerica you guys messed up my seating.. I reserved seating with my friends and you guys gave my seat away ... 😡 I want free internet,,2015-02-24 08:18:51 -0800,714,Mountain Time (US & Canada),virginamerica guys messed seating reserved seating friends guys gave seat away ... want free internet,virginamerica guy messed seating reserved seating friend guy gave seat away ... want free internet,virginamerica you guys messed up my seating .. i reserved seating with my friends and you guys gave my seat away ... 😡 i want free internet
25,570249102404923392,negative,1.0,Customer Service Issue,1.0,Virgin America,,Leora13,,0,@VirginAmerica status match program.  I applied and it's been three weeks.  Called and emailed with no response.,,2015-02-24 07:49:15 -0800,,,virginamerica status match program applied three weeks called emailed response,virginamerica status match program applied three week called emailed response,virginamerica status match program . i applied and it 's been three weeks . called and emailed with no response .
26,570239632807370753,negative,1.0,Can't Tell,0.6614,Virgin America,,meredithjlynn,,0,@VirginAmerica What happened 2 ur vegan food options?! At least say on ur site so i know I won't be able 2 eat anything for next 6 hrs #fail,,2015-02-24 07:11:37 -0800,,,virginamerica what happened vegan food options least say site know n't able eat anything next hrs fail,virginamerica what happened vegan food option least say site know n't able eat anything next hr fail,virginamerica what happened 2 ur vegan food options ? ! at least say on ur site so i know i wo n't be able 2 eat anything for next 6 hrs fail
28,570207886493782019,negative,1.0,Bad Flight,1.0,Virgin America,,blackjackpro911,,0,@VirginAmerica amazing to me that we can't get any cold air from the vents. #VX358 #noair #worstflightever #roasted #SFOtoBOS,"[42.361016, -71.02000488]",2015-02-24 05:05:28 -0800,"San Mateo, CA & Las Vegas, NV",,virginamerica amazing n't get cold air vents vx358 noair worstflightever roasted sfotobos,virginamerica amazing n't get cold air vent vx358 noair worstflightever roasted sfotobos,virginamerica amazing to me that we ca n't get any cold air from the vents . vx358 noair worstflightever roasted sfotobos
30,570114021854212096,negative,1.0,Flight Booking Problems,1.0,Virgin America,,jordanpichler,,0,"@VirginAmerica hi! I just bked a cool birthday trip with you, but i can't add my elevate no. cause i entered my middle name during Flight Booking Problems 😢",,2015-02-23 22:52:29 -0800,,Vienna,virginamerica bked cool birthday trip n't add elevate cause entered middle name flight booking problems,virginamerica bked cool birthday trip n't add elevate cause entered middle name flight booking problem,"virginamerica hi ! i just bked a cool birthday trip with you , but i ca n't add my elevate no . cause i entered my middle name during flight booking problems 😢"
32,570088404156698625,negative,1.0,Customer Service Issue,1.0,Virgin America,,Cuschoolie1,,0,"@VirginAmerica help, left expensive headphones on flight 89 IAD to LAX today. Seat 2A. No one answering L&amp;F number at LAX!","[33.94209449, -118.40410103]",2015-02-23 21:10:41 -0800,Washington DC,Quito,virginamerica help left expensive headphones flight iad lax today seat one answering amp number lax,virginamerica help left expensive headphone flight iad lax today seat one answering amp number lax,"virginamerica help , left expensive headphones on flight 89 iad to lax today . seat 2a . no one answering l & amp ; f number at lax !"
33,570084582780899328,negative,1.0,Customer Service Issue,1.0,Virgin America,,amanduhmccarty,,0,"@VirginAmerica awaiting my return phone call, just would prefer to use your online self-service option :(",,2015-02-23 20:55:30 -0800,,Pacific Time (US & Canada),virginamerica awaiting return phone call would prefer use online self service option,virginamerica awaiting return phone call would prefer use online self service option,"virginamerica awaiting my return phone call , just would prefer to use your online self service option : ("
39,570035876845084672,negative,1.0,Customer Service Issue,1.0,Virgin America,,DannyDouglass,,0,@VirginAmerica Your chat support is not working on your site: http://t.co/vhp2GtDWPk,,2015-02-23 17:41:58 -0800,"San Francisco, CA",Pacific Time (US & Canada),virginamerica your chat support working site t.co vhp2gtdwpk,virginamerica your chat support working site t.co vhp2gtdwpk,virginamerica your chat support is not working on your site : : t.co vhp2gtdwpk
61,569989034501500928,negative,1.0,Customer Service Issue,1.0,Virgin America,,rachie1126,,0,@VirginAmerica I called a 3-4 weeks ago about adding 3 flights from 2014 to my Elevate...they still haven't shown up...help!,,2015-02-23 14:35:50 -0800,"New York, NY",Eastern Time (US & Canada),virginamerica called weeks ago adding flights 2014 elevate ... still n't shown ... help,virginamerica called week ago adding flight 2014 elevate ... still n't shown ... help,virginamerica i called a 3 4 weeks ago about adding 3 flights from 2014 to my elevate ... they still have n't shown up ... help !
66,569976620158578688,negative,1.0,Customer Service Issue,1.0,Virgin America,,onerockgypsy,,0,@VirginAmerica heyyyy guyyyys.. been trying to get through for an hour. can someone call me please? :/,,2015-02-23 13:46:30 -0800,next city,Pacific Time (US & Canada),virginamerica heyyyy guyyyys trying get hour someone call please,virginamerica heyyyy guyyyys trying get hour someone call please,virginamerica heyyyy guyyyys .. been trying to get through for an hour . can someone call me please ? :
67,569973821396152323,negative,1.0,Late Flight,0.6789,Virgin America,,noelduan,,0,"@VirginAmerica Hi, Virgin! I'm on hold for 40-50 minutes -- are there any earlier flights from LA to NYC tonight; earlier than 11:50pm?",,2015-02-23 13:35:23 -0800,SF ↔ NY,Eastern Time (US & Canada),virginamerica virgin hold minutes earlier flights nyc tonight earlier 11:50pm,virginamerica virgin hold minute earlier flight nyc tonight earlier 11:50pm,"virginamerica hi , virgin ! i 'm on hold for 40 50 minutes are there any earlier flights from la to nyc tonight ; earlier than 11:50pm ?"
69,569967019958730753,negative,1.0,Lost Luggage,1.0,Virgin America,,gianagon,,0,@VirginAmerica everything was fine until you lost my bag,"[40.6413712, -73.78311558]",2015-02-23 13:08:21 -0800,New York + Panama,Eastern Time (US & Canada),virginamerica everything fine lost bag,virginamerica everything fine lost bag,virginamerica everything was fine until you lost my bag
73,569946362126602240,negative,1.0,Flight Attendant Complaints,0.3516,Virgin America,,seimatrun,,0,@VirginAmerica your airline is awesome but your lax loft needs to step up its game. $40 for dirty tables and floors? http://t.co/hy0VrfhjHt,,2015-02-23 11:46:16 -0800,Los Angeles,,virginamerica airline awesome lax loft needs step game dirty tables floors t.co hy0vrfhjht,virginamerica airline awesome lax loft need step game dirty table floor t.co hy0vrfhjht,virginamerica your airline is awesome but your lax loft needs to step up its game . $ 40 for dirty tables and floors ? : t.co hy0vrfhjht
78,569935232033366017,negative,1.0,Customer Service Issue,1.0,Virgin America,,meme_meng,,0,@VirginAmerica what is going on with customer service? Is there anyway to speak to a human asap? Thank you.,,2015-02-23 11:02:02 -0800,,,virginamerica going customer service anyway speak human asap thank,virginamerica going customer service anyway speak human asap thank,virginamerica what is going on with customer service ? is there anyway to speak to a human asap ? thank you .
80,569933816963342337,negative,1.0,Customer Service Issue,1.0,Virgin America,,GunsNDip,,0,@VirginAmerica why can't you supp the biz traveler like @SouthwestAir  and have customer service like @JetBlue #neverflyvirginforbusiness,,2015-02-23 10:56:25 -0800,,Pacific Time (US & Canada),virginamerica n't supp biz traveler like southwestair customer service like jetblue neverflyvirginforbusiness,virginamerica n't supp biz traveler like southwestair customer service like jetblue neverflyvirginforbusiness,virginamerica why ca n't you supp the biz traveler like southwestair and have customer service like jetblue neverflyvirginforbusiness
83,569933360564342784,negative,1.0,Can't Tell,1.0,Virgin America,,GunsNDip,,0,@VirginAmerica I have no interesting flying with you after this. I will Cancelled Flight my next four flights I planned.#neverflyvirginforbusiness,,2015-02-23 10:54:36 -0800,,Pacific Time (US & Canada),virginamerica interesting flying cancelled flight next four flights planned neverflyvirginforbusiness,virginamerica interesting flying cancelled flight next four flight planned neverflyvirginforbusiness,virginamerica i have no interesting flying with you after this . i will cancelled flight my next four flights i planned . neverflyvirginforbusiness
